feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASPARTATEKIN.RXN...expasy..Aspartate.kinase..2.7.2.4..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
DAHPSYN.RXN...expasy..3.deoxy.7.phosphoheptulonate.synthase..2.5.1.54..g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
DIAMINOPIMDECARB.RXN...expasy..Diaminopimelate.decarboxylase..4.1.1.20..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
DIAMINOPIMEPIM.RXN...expasy..Diaminopimelate.epimerase..5.1.1.7..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
F16ALDOLASE.RXN...expasy..Fructose.bisphosphate.aldolase..4.1.2.13..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.46013850316902e-16	6	1	2.72726578089225e-63	1.25410833681678e-61
GLYOHMETRANS.RXN...expasy..Glycine.hydroxymethyltransferase..2.1.2.1..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
GSAAMINOTRANS.RXN...expasy..Glutamate.1.semialdehyde.2.1.aminomutase..5.4.3.8..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
GTP.CYCLOHYDRO.I.RXN...expasy..GTP.cyclohydrolase.I..3.5.4.16..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
ISOLEUCINE..TRNA.LIGASE.RXN...expasy..Isoleucine..tRNA.ligase..6.1.1.5..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.48222959896898e-16	6	1	2.89609748542771e-63	1.25410833681678e-61
L.GLN.FRUCT.6.P.AMINOTRANS.RXN...expasy..Glutamine..fructose.6.phosphate.transaminase..isomerizing...2.6.1.16..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
L.GLN.FRUCT.6.P.AMINOTRANS.RXN...expasy..Glutamine..fructose.6.phosphate.transaminase..isomerizing...2.6.1.16..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
L.LACTATE.DEHYDROGENASE.RXN...expasy..L.lactate.dehydrogenase..1.1.1.27..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
METHIONYL.TRNA.FORMYLTRANSFERASE.RXN...expasy..Methionyl.tRNA.formyltransferase..2.1.2.9..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
RXN.14354...expasy..4.alpha.glucanotransferase..2.4.1.25..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
RXN.17824...expasy..Methylated.DNA...protein..cysteine.S.methyltransferase..2.1.1.63..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
RXN.17873...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
RXN.17874...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
RXN.17875...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
RXN.17876...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
RXN.17877...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
RXN.17878...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
RXN.1828...expasy..4.alpha.glucanotransferase..2.4.1.25..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
RXN.19916...expasy..Fructose.bisphosphate.aldolase..4.1.2.13..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.46013850316902e-16	6	1	2.72726578089225e-63	1.25410833681678e-61
RXN.19947...expasy..AMBIGUOUS..2.4.1.25..3.2.1.33..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
RXN.7572...expasy..L.lactate.dehydrogenase..1.1.1.27..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
RXN.8340...expasy..GTP.3..8.cyclase..4.1.99.22..g__Enterorhabdus.s__Enterorhabdus_caecimuris	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
RXN.8631...expasy..Fructose.bisphosphate.aldolase..4.1.2.13..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.46013850316902e-16	6	1	2.72726578089225e-63	1.25410833681678e-61
RXN.9023...expasy..4.alpha.glucanotransferase..2.4.1.25..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
SAICARSYN.RXN...expasy..Phosphoribosylaminoimidazolesuccinocarboxamide.synthase..6.3.2.6..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
SEDOBISALDOL.RXN...expasy..Fructose.bisphosphate.aldolase..4.1.2.13..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.46013850316902e-16	6	1	2.72726578089225e-63	1.25410833681678e-61
SERINE.O.ACETTRAN.RXN...expasy..Serine.O.acetyltransferase..2.3.1.30..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
SUCCDIAMINOPIMDESUCC.RXN...expasy..Succinyl.diaminopimelate.desuccinylase..3.5.1.18..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
UDPNACETYLGLUCOSAMENOLPYRTRANS.RXN...expasy..UDP.N.acetylglucosamine.1.carboxyvinyltransferase..2.5.1.7..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.46013850316902e-16	6	1	2.72726578089225e-63	1.25410833681678e-61
UNDECAPRENYL.DIPHOSPHATASE.RXN...expasy..Undecaprenyl.diphosphate.phosphatase..3.6.1.27..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.48952049194836e-16	6	1	2.95350139164108e-63	1.25410833681678e-61
ACETATEKIN.RXN...expasy..AMBIGUOUS..2.7.2.1..2.7.2.15..g__Dorea.s__Dorea_sp_5_2	Condition	[T.Infected]	-1	1.52023548612203e-16	6	1	3.2047541141939e-63	1.34973126527608e-61
ACETYLGLUTKIN.RXN...expasy..Acetylglutamate.kinase..2.7.2.8..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.52023548612203e-16	6	1	3.2047541141939e-63	1.34973126527608e-61
ASPARTATEKIN.RXN...expasy..Aspartate.kinase..2.7.2.4..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	1.52023548612203e-16	6	1	3.2047541141939e-63	1.34973126527608e-61
CTPSYN.RXN...expasy..CTP.synthase..glutamine.hydrolyzing...6.3.4.2..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.55777781789571e-16	6	1	3.53324141089878e-63	1.48005673225816e-61
HISTPRATPHYD.RXN...expasy..Phosphoribosyl.ATP.diphosphatase..3.6.1.31..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.55777781789571e-16	6	1	3.53324141089878e-63	1.48005673225816e-61
RXN.16820...expasy..tRNA.uridine.2.sulfurtransferase..2.8.1.13..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.58717244408366e-16	6	1	3.80756836307377e-63	1.58217700349009e-61
RXN.18693...expasy..tRNA.uridine.2.sulfurtransferase..2.8.1.13..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.58717244408366e-16	6	1	3.80756836307377e-63	1.58217700349009e-61
RXN0.2023...expasy..tRNA.uridine.2.sulfurtransferase..2.8.1.13..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.58717244408366e-16	6	1	3.80756836307377e-63	1.58217700349009e-61
RXN0.1602...expasy..XTP.dITP.diphosphatase..3.6.1.66..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.59624726042813e-16	6	1	3.8953986555159e-63	1.6057928516014e-61
RXN0.1603...expasy..XTP.dITP.diphosphatase..3.6.1.66..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.59624726042813e-16	6	1	3.8953986555159e-63	1.6057928516014e-61
SHIKIMATE.5.DEHYDROGENASE.RXN...expasy..Shikimate.dehydrogenase..1.1.1.25..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.59624726042813e-16	6	1	3.8953986555159e-63	1.6057928516014e-61
X2.8.1.6.RXN...expasy..Biotin.synthase..2.8.1.6..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.63734372768427e-16	6	1	4.31231713605927e-63	1.7452531409244e-61
CARBODEHYDRAT.RXN...expasy..Carbonic.anhydrase..4.2.1.1..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.63734372768427e-16	6	1	4.31231713605927e-63	1.7452531409244e-61
DAHPSYN.RXN...expasy..3.deoxy.7.phosphoheptulonate.synthase..2.5.1.54..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.63734372768427e-16	6	1	4.31231713605927e-63	1.7452531409244e-61
FORMATETHFLIG.RXN...expasy..Formate..tetrahydrofolate.ligase..6.3.4.3..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.63734372768427e-16	6	1	4.31231713605927e-63	1.7452531409244e-61
IMIDPHOSDEHYD.RXN...expasy..Imidazoleglycerol.phosphate.dehydratase..4.2.1.19..g__Enterorhabdus.s__Enterorhabdus_caecimuris	Condition	[T.Infected]	-1	1.63734372768427e-16	6	1	4.31231713605927e-63	1.7452531409244e-61
METHGLYSYN.RXN...expasy..Methylglyoxal.synthase..4.2.3.3..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.63734372768427e-16	6	1	4.31231713605927e-63	1.7452531409244e-61
THIOREDOXIN.REDUCT.NADPH.RXN...expasy..Thioredoxin.disulfide.reductase..1.8.1.9..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.63734372768427e-16	6	1	4.31231713605927e-63	1.7452531409244e-61
PNKIN.RXN...expasy..Pyridoxal.kinase..2.7.1.35..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.68087454273544e-16	6	1	4.78952505337603e-63	1.9333508793381e-61
TRNA.PSEUDOURIDINE.SYNTHASE.I.RXN...expasy..tRNA.pseudouridine.38.40..synthase..5.4.99.12..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.70137377034384e-16	6	1	5.0274780463549e-63	2.02414601861144e-61
VALINE..TRNA.LIGASE.RXN...expasy..Valine..tRNA.ligase..6.1.1.9..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.70349492036386e-16	6	1	5.05259655858192e-63	2.02900266451994e-61
ALPHAGALACTOSID.RXN...expasy..Alpha.galactosidase..3.2.1.22..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.72665559794403e-16	6	1	5.33303132143002e-63	2.12514460939343e-61
CTPSYN.RXN...expasy..CTP.synthase..glutamine.hydrolyzing...6.3.4.2..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.72665559794403e-16	6	1	5.33303132143002e-63	2.12514460939343e-61
RXN.17830...expasy..Alpha.galactosidase..3.2.1.22..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.72665559794403e-16	6	1	5.33303132143002e-63	2.12514460939343e-61
X1.1.1.271.RXN...expasy..GDP.L.fucose.synthase..1.1.1.271..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119257e-63	2.45310739992551e-61
X1.18.1.2.RXN...expasy..Ferredoxin..NADP....reductase..1.18.1.2..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.80517962150674e-16	6	1	6.37137165442898e-63	2.45310739992551e-61
X1.8.1.4.RXN...expasy..Dihydrolipoyl.dehydrogenase..1.8.1.4..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.80517962150674e-16	6	1	6.37137165442898e-63	2.45310739992551e-61
AMINOCYL.TRNA.HYDROLASE.RXN...expasy..Aminoacyl.tRNA.hydrolase..3.1.1.29..g__Enterorhabdus.s__Enterorhabdus_caecimuris	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
ASNSYNA.RXN...expasy..Aspartate..ammonia.ligase..6.3.1.1..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
ASPDECARBOX.RXN...expasy..Aspartate.1.decarboxylase..4.1.1.11..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119257e-63	2.45310739992551e-61
DNA.DIRECTED.DNA.POLYMERASE.RXN...expasy..DNA.directed.DNA.polymerase..2.7.7.7..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
DNA.DIRECTED.DNA.POLYMERASE.RXN...expasy..DNA.directed.DNA.polymerase..2.7.7.7..g__Romboutsia.s__Romboutsia_ilealis	Condition	[T.Infected]	-1	1.80517962150674e-16	6	1	6.37137165442898e-63	2.45310739992551e-61
GLYC3PDEHYDROG.RXN...expasy..Glycerol.3.phosphate.dehydrogenase..1.1.5.3..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
PNKIN.RXN...expasy..Pyridoxal.kinase..2.7.1.35..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119257e-63	2.45310739992551e-61
RXN.15740...expasy..Glycerol.3.phosphate.dehydrogenase..1.1.5.3..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
RXN.15745...expasy..Glycerol.3.phosphate.dehydrogenase..1.1.5.3..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
RXN.16637...expasy..Aminoacyl.tRNA.hydrolase..3.1.1.29..g__Enterorhabdus.s__Enterorhabdus_caecimuris	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
RXN.17873...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
RXN.17874...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
RXN.17875...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
RXN.17876...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
RXN.17877...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
RXN.17878...expasy..Methionyl.aminopeptidase..3.4.11.18..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
RXN.20927...expasy..DNA.directed.DNA.polymerase..2.7.7.7..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
RXN.20927...expasy..DNA.directed.DNA.polymerase..2.7.7.7..g__Romboutsia.s__Romboutsia_ilealis	Condition	[T.Infected]	-1	1.80517962150674e-16	6	1	6.37137165442898e-63	2.45310739992551e-61
RXN.21405...expasy..Glycerol.3.phosphate.dehydrogenase..1.1.5.3..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
RXN.7716...expasy..Dihydrolipoyl.dehydrogenase..1.8.1.4..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.80517962150674e-16	6	1	6.37137165442898e-63	2.45310739992551e-61
RXN.7719...expasy..Dihydrolipoyl.dehydrogenase..1.8.1.4..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.80517962150674e-16	6	1	6.37137165442898e-63	2.45310739992551e-61
RXN.8629...expasy..Dihydrolipoyl.dehydrogenase..1.8.1.4..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.80517962150674e-16	6	1	6.37137165442898e-63	2.45310739992551e-61
RXN0.1132...expasy..Dihydrolipoyl.dehydrogenase..1.8.1.4..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.80517962150674e-16	6	1	6.37137165442898e-63	2.45310739992551e-61
SAICARSYN.RXN...expasy..Phosphoribosylaminoimidazolesuccinocarboxamide.synthase..6.3.2.6..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.80517962150674e-16	6	1	6.37137165442898e-63	2.45310739992551e-61
SHIKIMATE.5.DEHYDROGENASE.RXN...expasy..Shikimate.dehydrogenase..1.1.1.25..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119257e-63	2.45310739992551e-61
THI.P.SYN.RXN...expasy..Thiamine.phosphate.synthase..2.5.1.3..g__Acetatifactor.s__Acetatifactor_muris	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119257e-63	2.45310739992551e-61
THIAZOLSYN3.RXN...expasy..Hydroxyethylthiazole.kinase..2.7.1.50..g__Enterorhabdus.s__Enterorhabdus_caecimuris	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
UDPNACETYLGLUCOSAMENOLPYRTRANS.RXN...expasy..UDP.N.acetylglucosamine.1.carboxyvinyltransferase..2.5.1.7..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	1.82428258334644e-16	6	1	6.64537813119238e-63	2.45310739992551e-61
DXPREDISOM.RXN...expasy..1.deoxy.D.xylulose.5.phosphate.reductoisomerase..1.1.1.267..g__Enterorhabdus.s__Enterorhabdus_caecimuris	Condition	[T.Infected]	-1	1.87581289269359e-16	6	1	7.42864006641459e-63	2.72927884804135e-61
UDPNACETYLMURAMATEDEHYDROG.RXN...expasy..UDP.N.acetylmuramate.dehydrogenase..1.3.1.98..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.87581289269359e-16	6	1	7.42864006641459e-63	2.72927884804135e-61
N.ACETYLGLUTPREDUCT.RXN...expasy..N.acetyl.gamma.glutamyl.phosphate.reductase..1.2.1.38..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.90219370281197e-16	6	1	7.85543444742951e-63	2.87927610253542e-61
X2.8.1.6.RXN...expasy..Biotin.synthase..2.8.1.6..g__Romboutsia.s__Romboutsia_ilealis	Condition	[T.Infected]	-1	1.92896258454023e-16	6	1	8.30704313940212e-63	3.0093183549988e-61
ACSERLY.RXN...expasy..Cysteine.synthase..2.5.1.47..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	1.92896258454023e-16	6	1	8.30704313940212e-63	3.0093183549988e-61
DEPHOSPHOCOAKIN.RXN...expasy..Dephospho.CoA.kinase..2.7.1.24..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.92896258454023e-16	6	1	8.30704313940212e-63	3.0093183549988e-61
KETOLACTOSE.RXN...expasy..Beta.galactosidase..3.2.1.23..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	1.92896258454023e-16	6	1	8.30704313940212e-63	3.0093183549988e-61
RXN.19765...expasy..Beta.galactosidase..3.2.1.23..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	1.92896258454023e-16	6	1	8.30704313940212e-63	3.0093183549988e-61
NACGLCTRANS.RXN...metacyc..UDP.N.acetyl.D.glucosamine.N.acetylmuramoyl.L.alanyl.D.glutamyl.meso.2.6.diaminopimelyl.D.alanyl.D.alanine.diphosphoundecaprenol.4..beta..N.acetylglucosaminlytransferase..2.4.1.227..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.9468513375587e-16	6	1	8.61950666553596e-63	3.10082761780311e-61
RXN.8976...expasy..acetylglucosaminyltransferase..2.4.1.227..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.9468513375587e-16	6	1	8.61950666553596e-63	3.10082761780311e-61
THIOREDOXIN.REDUCT.NADPH.RXN...expasy..Thioredoxin.disulfide.reductase..1.8.1.9..g__Enterorhabdus.s__Enterorhabdus_caecimuris	Condition	[T.Infected]	-1	1.9468513375587e-16	6	1	8.61950666553596e-63	3.10082761780311e-61
HYDROXYMETHYLGLUTARYL.COA.SYNTHASE.RXN...expasy..Hydroxymethylglutaryl.CoA.synthase..2.3.3.10..g__Lactobacillus.s__Lactobacillus_johnsonii	Condition	[T.Infected]	-1	1.95425665656277e-16	6	1	8.75140232704833e-63	3.14100562504984e-61
HISTIDINE..TRNA.LIGASE.RXN...expasy..Histidine..tRNA.ligase..6.1.1.21..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	1.98360149132408e-16	6	1	9.2889998297043e-63	3.32627526159987e-61
ABC.27.RXN...expasy..ABC.type.phosphate.transporter..7.3.2.1..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	2.01251849011291e-16	6	1	9.84262110293132e-63	3.51641780599209e-61
DNA.LIGASE.NAD..RXN...expasy..AMBIGUOUS..6.5.1.2..6.5.1.6..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	2.03960993326578e-16	6	1	1.03834033299884e-62	3.67581938841343e-61
GLYC3PDEHYDROGBIOSYN.RXN...expasy..Glycerol.3.phosphate.dehydrogenase..NAD.P.......1.1.1.94..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	2.03960993326578e-16	6	1	1.03834033299884e-62	3.67581938841343e-61
NAD.SYNTH.GLN.RXN...expasy..NAD....synthase..glutamine.hydrolyzing...6.3.5.1..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	2.03960993326578e-16	6	1	1.03834033299884e-62	3.67581938841343e-61
TRNA.GUANINE.N7..METHYLTRANSFERASE.RXN...expasy..tRNA..guanine.46..N.7...methyltransferase..2.1.1.33..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	2.03960993326578e-16	6	1	1.03834033299884e-62	3.67581938841343e-61
ISPH2.RXN...expasy..4.hydroxy.3.methylbut.2.enyl.diphosphate.reductase..1.17.7.4..g__Enterorhabdus.s__Enterorhabdus_caecimuris	Condition	[T.Infected]	-1	2.08997825679366e-16	6	1	1.14477021713119e-62	4.03421177878362e-61
RXN0.884...expasy..4.hydroxy.3.methylbut.2.enyl.diphosphate.reductase..1.17.7.4..g__Enterorhabdus.s__Enterorhabdus_caecimuris	Condition	[T.Infected]	-1	2.08997825679366e-16	6	1	1.14477021713119e-62	4.03421177878362e-61
X5.1.3.9.RXN...expasy..N.acylglucosamine.6.phosphate.2.epimerase..5.1.3.9..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	2.12832968057084e-16	6	1	1.23113834050872e-62	4.28993743270092e-61
ARGININE..TRNA.LIGASE.RXN...expasy..Arginine..tRNA.ligase..6.1.1.19..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	2.12832968057084e-16	6	1	1.23113834050872e-62	4.28993743270092e-61
FGAMSYN.RXN...expasy..Phosphoribosylformylglycinamidine.synthase..6.3.5.3..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	2.12832968057084e-16	6	1	1.23113834050872e-62	4.28993743270092e-61
